Titles,Genre,Imdb_ratings,Tv-Ratings,runtime,Director,Years
The Stranger,"Horror, Mystery & Thriller",6.6,N/A,1h 19min,Paul Gerrard,2022
The Endless,"Horror, Mystery & Thriller, Science-Fiction, Drama, Fantasy",6.5,N/A,1h 51min,Aaron Moorhead,2017
Top Gun: Maverick,"Action & Adventure, Drama",8.3,PG-13,3h 0min,Joseph Kosinski,2022
Nope,"Horror, Mystery & Thriller, Science-Fiction, Fantasy",6.8,R,2h 10min,Jordan Peele,2022
After the Dark,"Drama, Mystery & Thriller, Fantasy, Science-Fiction",5.6,R,1h 40min,John Huddles,2013
The Lake at the Bottom of the World,Documentary,7.5,N/A,1h 31min,Kathryn Kasic,2022
Smile,"Mystery & Thriller, Horror",6.5,R,1h 55min,Parker Finn,2022
Face of Evil,"Mystery & Thriller, Horror",2.8,R,1h 30min,Vito Dinatolo,2016
Vanilla,"Comedy, Romance",5.6,N/A,1h 27min,N/A,2020
The Flood,Drama,N/A,N/A,1h 37min,Anthony Woodley,2019
Whiplash,"Drama, Music & Musical",8.5,R,1h 46min,Damien Chazelle,2014
Big Bad Wolves,"Comedy, Mystery & Thriller, Horror, Drama",6.8,N/A,1h 49min,Navot Papushado,2013
Ticket to Paradise,"Romance, Comedy",6.2,PG-13,1h 44min,Ol Parker,2022
The Northman,"Action & Adventure, Fantasy, Drama, History, Mystery & Thriller",7.1,R,2h 17min,Robert Eggers,2022
The Wolf of Wall Street,"Comedy, Drama, Crime",8.2,R,3h 0min,Martin Scorsese,2013
The Mandela Effect,"Mystery & Thriller, Drama, Science-Fiction, Documentary",5.8,N/A,1h 20min,David Guy Levy,2019
Syrup,"Comedy, Drama, Romance",5.6,R,1h 30min,Aram Rappaport,2013
Vengeance,"Mystery & Thriller, Horror, Comedy, Music & Musical",6.8,R,1h 47min,B.J. Novak,2022
Licorice Pizza,"Romance, Comedy, Drama",7.2,R,2h 13min,Paul Thomas Anderson,2021
Margrete: Queen of the North,"Drama, History",6.6,N/A,2h 0min,Charlotte Sieling,2021
Jurassic World Dominion,"Action & Adventure, Science-Fiction, Mystery & Thriller",5.6,PG-13,2h 27min,Colin Trevorrow,2022
Haunt,"Horror, Mystery & Thriller",6.3,R,1h 32min,Scott Beck,2019
The Tunnel,"Drama, Mystery & Thriller, Made in Europe",N/A,N/A,1h 45min,Pål Øie,2019
The Ambush,"War & Military, Action & Adventure, Drama",6.3,R,1h 50min,Pierre Morel,2021
Ghost Source Zero,"Science-Fiction, Action & Adventure",2.9,N/A,1h 35min,Mark Cheng Ho-Nam,2017
The Longest Weekend,Drama,6.5,N/A,1h 18min,Molly Haddon,2022
Terrifier 2,Horror,6.2,N/A,2h 18min,Damien Leone,2022
Bruno Sammartino,Documentary,7.4,N/A,1h 36min,Patrea Patrick,2019
Life Itself,Documentary,7.8,R,2h 1min,Steve James,2014
Back Roads,"Mystery & Thriller, Drama, Crime",6.4,N/A,1h 41min,Alex Pettyfer,2019
Valerian and the City of a Thousand Planets,"Science-Fiction, Fantasy, Kids & Family, Action & Adventure, Made in Europe",6.4,PG-13,2h 17min,Luc Besson,2017
Wrath of Man,"Mystery & Thriller, Drama, Action & Adventure, Crime, Comedy",7.1,R,1h 58min,Guy Ritchie,2021
Kill Me Three Times,"Comedy, Mystery & Thriller, Action & Adventure, Crime",5.9,R,1h 30min,Kriv Stenders,2015
No Time to Die,"Mystery & Thriller, Action & Adventure",7.3,PG-13,2h 43min,Cary Joji Fukunaga,2020
