Disney_Movie,Disney_Rating,Disney_Genre,Disney_Tv_Ratings,Year,Runtime
Isle of Dogs,7.8,"Comedy, Science-Fiction, Fantasy, Animation, Drama, Made in Europe",PG-13,2018,1h 41min
Black Panther: Wakanda Forever,6.7,"Science-Fiction, Action & Adventure, Mystery & Thriller, Fantasy, Drama",PG-13,2022,2h 41min
Deadpool,8.0,"Comedy, Action & Adventure, Science-Fiction",R,2016,1h 48min
Free Guy,7.1,"Comedy, Action & Adventure, Fantasy, Science-Fiction",PG-13,2021,1h 54min
Logan,8.1,"Drama, Science-Fiction, Action & Adventure, Mystery & Thriller",R,2017,2h 17min
Guardians of the Galaxy,8.0,"Action & Adventure, Science-Fiction, Comedy",PG-13,2014,2h 1min
Avatar: The Deep Dive - A Special Edition of 20/20,6.4,Documentary,N/A,2022,41min
Hidden Figures,7.8,"Drama, History",PG,2016,2h 2min
Deadpool 2,7.7,"Action & Adventure, Comedy, Science-Fiction",R,2018,2h 0min
Thor: Love and Thunder,6.3,"Comedy, Science-Fiction, Music & Musical, Action & Adventure, Fantasy, Romance",PG-13,2022,1h 59min
Fire of Love,7.6,Documentary,PG,2022,1h 38min
Black Panther,7.3,"Science-Fiction, Action & Adventure",PG-13,2018,2h 14min
Avengers: Endgame,8.4,"Action & Adventure, Science-Fiction, Drama, Fantasy",PG-13,2019,3h 1min
Avengers: Infinity War,8.4,"Science-Fiction, Action & Adventure, Fantasy",PG-13,2018,2h 29min
Guardians of the Galaxy Vol. 2,7.6,"Action & Adventure, Science-Fiction, Comedy",PG-13,2017,2h 17min
Doctor Strange in the Multiverse of Madness,6.9,"Fantasy, Action & Adventure, Horror, Science-Fiction",PG-13,2022,2h 30min
Werewolf by Night,7.8,"Horror, Fantasy, Mystery & Thriller, Action & Adventure, Comedy, Drama",PG-13,2022,55min
Miss Peregrine's Home for Peculiar Children,6.7,"Drama, Fantasy, Mystery & Thriller, Kids & Family, Made in Europe",PG-13,2016,2h 7min
Inside Out,8.1,"Animation, Science-Fiction, Comedy, Drama, Kids & Family, Fantasy",PG,2015,1h 34min
The Guardians of the Galaxy Holiday Special,6.9,"Comedy, Science-Fiction, Fantasy, Action & Adventure",PG-13,2022,44min
Strange World,5.6,"Science-Fiction, Comedy, Kids & Family, Fantasy, Animation, Action & Adventure",PG,2022,1h 42min
Hocus Pocus 2,6.0,"Comedy, Kids & Family, Fantasy, Romance, Horror",PG,2022,1h 47min
