Titles,Genre,imdb,Tv-Ratings,runtime,Director,year
Citadel,"Drama, Action & Adventure",N/A,TV-14,41min,Anthony Russo,2023
Black Panther: Wakanda Forever,"Action & Adventure, Science-Fiction, Mystery & Thriller, Fantasy, Drama",6.7,PG-13,2h 42min,Ryan Coogler,2022
Deadpool,"Comedy, Action & Adventure, Science-Fiction",8.0,R,1h 48min,Tim Miller,2016
Guardians of the Galaxy,"Science-Fiction, Action & Adventure, Comedy",8.0,PG-13,2h 1min,James Gunn,2014
Guardians of the Galaxy Vol. 2,"Science-Fiction, Comedy, Action & Adventure",7.6,PG-13,2h 17min,James Gunn,2017
The Greatest Showman,Drama,7.5,PG,1h 45min,Michael Gracey,2017
Deadpool 2,"Action & Adventure, Comedy, Science-Fiction",7.7,R,2h 0min,David Leitch,2018
The Kid Who Would Be King,"Fantasy, Kids & Family, Action & Adventure",6.1,PG,2h 0min,Joe Cornish,2019
Logan,"Drama, Action & Adventure, Science-Fiction, Mystery & Thriller",8.1,R,2h 17min,James Mangold,2017
Hidden Figures,"Drama, History",7.8,PG,2h 2min,Theodore Melfi,2016
Fire of Love,Documentary,7.6,PG,1h 38min,Sara Dosa,2022
Free Guy,"Comedy, Fantasy, Science-Fiction, Action & Adventure",7.1,PG-13,1h 54min,Shawn Levy,2021
Ant-Man and the Wasp,"Science-Fiction, Action & Adventure, Comedy",7.0,PG-13,1h 59min,Peyton Reed,2018
Pinocchio,"Animation, Comedy, Drama, Kids & Family, Fantasy, Romance",5.0,PG,1h 45min,Robert Zemeckis,2022
Miss Peregrine's Home for Peculiar Children,"Drama, Kids & Family, Fantasy, Mystery & Thriller, Made in Europe",6.7,PG-13,2h 7min,Tim Burton,2016
Avengers: Infinity War,"Action & Adventure, Science-Fiction, Fantasy",8.4,PG-13,2h 29min,Anthony Russo,2018
Isle of Dogs,"Comedy, Fantasy, Animation, Drama, Science-Fiction, Made in Europe",7.8,PG-13,1h 41min,Wes Anderson,2018
Coco,"Comedy, Kids & Family, Music & Musical, Animation, Fantasy, Drama, Made in Europe",8.4,PG,1h 49min,Lee Unkrich,2017
Avengers: Endgame,"Science-Fiction, Action & Adventure, Drama, Fantasy",8.4,PG-13,3h 2min,Joe Russo,2019
Werewolf by Night,"Horror, Fantasy, Mystery & Thriller, Action & Adventure, Comedy, Drama",7.8,PG-13,55min,Michael Giacchino,2022
Rogue One: A Star Wars Story,"Action & Adventure, Science-Fiction",7.8,PG-13,2h 13min,Gareth Edwards,2016
Thor: Love and Thunder,"Comedy, Science-Fiction, Music & Musical, Action & Adventure, Fantasy, Romance",6.3,PG-13,1h 59min,Taika Waititi,2022
Oswald the Lucky Rabbit,Animation,N/A,G,2min,Eric Goldberg,2022
Black Panther,"Science-Fiction, Action & Adventure",7.3,PG-13,2h 15min,Ryan Coogler,2018
Doctor Strange in the Multiverse of Madness,"Fantasy, Action & Adventure, Horror, Science-Fiction",6.9,PG-13,2h 6min,Sam Raimi,2022
The Guardians of the Galaxy Holiday Special,"Action & Adventure, Comedy, Science-Fiction, Fantasy",6.9,PG-13,45min,James Gunn,2022
Cruella,"Comedy, Crime, Drama",7.3,PG-13,2h 14min,Craig Gillespie,2021
Inside Out,"Animation, Science-Fiction, Comedy, Drama, Kids & Family, Fantasy",8.1,PG,1h 34min,Pete Docter,2015
Avatar: The Deep Dive - A Special Edition of 20/20,Documentary,6.3,N/A,41min,Dave Hoffman,2022
Obi-Wan Kenobi: A Jedi's Return,Documentary,7.2,N/A,1h 0min,David Gelb,2022
Disenchanted,"Fantasy, Romance, Animation, Comedy, Kids & Family",5.6,PG,2h 0min,Adam Shankman,2022
Zen - Grogu and Dust Bunnies,"Fantasy, Science-Fiction, Animation",N/A,G,3min,Katsuya Kondo,2022
Jim Henson's Turkey Hollow,"Fantasy, Comedy, Kids & Family",5.5,N/A,1h 30min,Kirk R. Thatcher,2015
The New Mutants,"Horror, Science-Fiction, Action & Adventure",5.3,PG-13,1h 34min,Josh Boone,2020
Black Is King,"Music & Musical, Drama, Fantasy",5.8,PG,1h 25min,Dikayl Rimmasch,2020
Spies in Disguise,"Comedy, Kids & Family, Mystery & Thriller, Science-Fiction, Fantasy, Animation, Action & Adventure, Drama, Crime, Music & Musical",6.8,PG,1h 42min,Nick Bruno,2019
Le Pupille,"Comedy, Kids & Family",7.8,PG,38min,Alice Rohrwacher,2022
Hocus Pocus 2,"Fantasy, Comedy, Kids & Family, Horror, Romance",6.0,PG,1h 47min,Anne Fletcher,2022
The BFG,"Fantasy, Kids & Family",6.3,PG,1h 57min,Steven Spielberg,2016
The Wolverine,"Fantasy, Action & Adventure, Science-Fiction",6.7,PG-13,2h 19min,James Mangold,2013
"McFarland, USA","Drama, Sport",7.4,PG,2h 9min,Niki Caro,2015
Tommy,Documentary,N/A,N/A,1h 18min,Gentry Kirby,2017
Turning Red,"Fantasy, Kids & Family, Animation, Comedy",7.0,PG,1h 40min,Domee Shi,2022
Team Thor,Comedy,N/A,PG,3min,Taika Waititi,2016
Secret Society of Second Born Royals,"Comedy, Fantasy, Action & Adventure, Kids & Family",4.9,PG,1h 30min,Anna Mastro,2020
Star Wars Biomes,Science-Fiction,N/A,N/A,18min,N/A,2021
Captain Marvel,"Science-Fiction, Action & Adventure",6.8,PG-13,2h 8min,Anna Boden,2019
Percy Jackson: Sea of Monsters,"Fantasy, Action & Adventure, Kids & Family, Mystery & Thriller",5.7,PG,1h 46min,Thor Freudenthal,2013
Soul,"Comedy, Fantasy, Drama, Animation, Kids & Family, Music & Musical, Science-Fiction",8.0,PG,1h 41min,Pete Docter,2020
Ron's Gone Wrong,"Comedy, Kids & Family, Science-Fiction, Animation",7.0,PG,1h 47min,Jean-Philippe Vine,2021
Remembering,"Fantasy, Drama",5.5,G,9min,Elijah Allan-Blitz,2022
Elton John Live: Farewell from Dodger Stadium,Music & Musical,8.0,PG,2h 55min,Paul Dugdale,2022
Strange World,"Science-Fiction, Animation, Fantasy, Action & Adventure, Comedy, Kids & Family",5.6,PG,1h 42min,Don Hall,2022
The Peanuts Movie,"Comedy, Kids & Family, Animation, Drama",7.0,G,1h 33min,Steve Martino,2015
The Art of Racing in the Rain,"Drama, Comedy, Romance, Sport",7.5,PG,1h 49min,Simon Curtis,2019
The Call of the Wild,"Drama, Action & Adventure, Kids & Family, Western, Animation",6.7,PG,1h 40min,Chris Sanders,2020
Onward,"Comedy, Animation, Fantasy, Drama, Kids & Family",7.4,PG,1h 42min,Dan Scanlon,2020
Encanto at the Hollywood Bowl,"Music & Musical, Kids & Family",7.5,N/A,45min,Chris Howe,2022
Doctor Strange,"Fantasy, Science-Fiction, Action & Adventure",7.5,PG-13,1h 55min,Scott Derrickson,2016
Lightyear,"Science-Fiction, Animation, Action & Adventure, Comedy, Fantasy, Drama, Kids & Family",6.1,PG,1h 45min,Angus MacLane,2022
"The Simpsons: The Good, the Bart, and the Loki",Comedy,N/A,PG,6min,David Silverman,2021
Shang-Chi and the Legend of the Ten Rings,"Action & Adventure, Fantasy, Science-Fiction, Comedy",7.5,PG-13,2h 12min,Destin Daniel Cretton,2021
Marvel One-Shot: Agent Carter,"Fantasy, Action & Adventure, Science-Fiction",N/A,PG-13,15min,Louis D'Esposito,2013
Thor: Ragnarok,"Comedy, Fantasy, Science-Fiction, Action & Adventure",7.9,PG-13,2h 11min,Taika Waititi,2017
Just Love and a Thousand Songs,"Documentary, Music & Musical",8.2,PG,30min,Diego Peskins,2022
Welcome to the Club,Comedy,N/A,N/A,4min,David Silverman,2022
Magic Camp,"Comedy, Fantasy, Kids & Family",6.3,PG,1h 40min,Mark Waters,2020
Sneakerella,"Kids & Family, Comedy",4.8,N/A,1h 52min,Elizabeth Allen Rosenbaum,2022
Frozen,"Animation, Kids & Family, Action & Adventure, Fantasy, Comedy",7.4,PG,1h 42min,Jennifer Lee,2013
Noelle,"Fantasy, Romance, Comedy, Kids & Family",6.3,G,1h 40min,Marc Lawrence,2019
20/20 Presents Black Panther: In Search of Wakanda,Documentary,N/A,N/A,43min,David Hoffman,2022
The Territory,Documentary,7.5,PG,1h 25min,Alex Pritz,2022
