Hulu_Movies,Ratings,Genre,Runtime,Tv_Ratings,Year
Triangle of Sadness,7.4,"Drama, Comedy",2h 27min,R,2022
Medieval,5.9,"History, Action & Adventure, Drama, War & Military",2h 6min,R,2022
Blade Runner 2049,8.0,"Drama, Action & Adventure, Science-Fiction, Mystery & Thriller",2h 44min,R,2017
Ford v Ferrari,8.1,"Drama, Action & Adventure, History, Sport",2h 33min,PG-13,2019
Jumanji: Welcome to the Jungle,6.9,"Comedy, Fantasy, Action & Adventure",1h 59min,PG-13,2017
The Last Stand,6.3,"Mystery & Thriller, Action & Adventure, Western, Made in Europe",1h 47min,R,2013
Elysium,6.6,"Drama, Mystery & Thriller, Science-Fiction, Crime, Action & Adventure",1h 49min,R,2013
Beast of Burden,3.6,"Mystery & Thriller, Drama, Action & Adventure, Crime",1h 29min,R,2018
Dunkirk,7.8,"Drama, Action & Adventure, History, Mystery & Thriller, War & Military, Made in Europe",1h 46min,PG-13,2017
Watcher,6.3,"Drama, Horror, Mystery & Thriller",1h 36min,R,2022
The Worst Person in the World,7.9,"Drama, Romance, Comedy",2h 8min,R,2021
Hell or High Water,7.6,"Drama, Mystery & Thriller, Western, Action & Adventure, Crime",1h 42min,R,2016
Portrait of a Lady on Fire,8.1,"Drama, Comedy, Romance, History, Made in Europe",2h 0min,R,2019
The War with Grandpa,5.6,"Comedy, Drama, Kids & Family",1h 34min,PG,2020
Alita: Battle Angel,7.3,"Action & Adventure, Science-Fiction, Mystery & Thriller",2h 2min,PG-13,2019
Prey,7.1,"Mystery & Thriller, Action & Adventure, Drama, Horror, Science-Fiction",1h 40min,R,2022
The Estate,5.3,"Drama, Comedy",1h 31min,R,2022
The Last Duel,7.4,"Action & Adventure, Drama, Documentary, Mystery & Thriller, History",2h 32min,R,2021
Crimes of the Future,5.9,"Horror, Drama, Science-Fiction",1h 47min,R,2022
Prospect,6.3,"Science-Fiction, Documentary, Western, Drama, Mystery & Thriller",1h 38min,R,2018
How to Train Your Dragon 2,7.8,"Comedy, Animation, Action & Adventure, Kids & Family, Fantasy",1h 45min,PG,2014
Hacksaw Ridge,8.1,"Drama, History, War & Military",2h 11min,R,2016
Something in the Dirt,5.9,"Science-Fiction, Comedy, Horror",1h 56min,R,2022
Nightmare Alley,7.0,"Mystery & Thriller, Drama, Action & Adventure, Fantasy, Horror, Crime",2h 30min,R,2021
Brimstone,7.0,"Western, Mystery & Thriller, Drama, Made in Europe",2h 29min,R,2017
The French Dispatch,7.3,"Drama, Comedy, Documentary, Romance",1h 48min,R,2021
The Program,6.5,"Drama, Sport, Made in Europe",1h 44min,PG-13,2015
The Shape of Water,7.3,"Drama, Fantasy, Romance, Science-Fiction, Mystery & Thriller",2h 3min,R,2017
Death on the Nile,6.6,"Mystery & Thriller, Drama, Crime",2h 7min,PG-13,2022
Palm Springs,7.4,"Science-Fiction, Comedy, Fantasy, Romance",1h 30min,R,2020
The Judge,7.4,"Drama, Crime, Made in Europe",2h 21min,R,2014
Spiral: From the Book of Saw,5.2,"Horror, Mystery & Thriller, Action & Adventure, Drama, Crime",1h 33min,R,2021
Call Jane,6.3,"Drama, History",2h 1min,R,2022
Nomadland,7.3,Drama,1h 48min,R,2021
Piggy,6.2,"Drama, Horror, Mystery & Thriller",1h 40min,N/A,2023
The Equalizer 2,6.7,"Action & Adventure, Mystery & Thriller, Crime",2h 1min,R,2018
Another Round,7.7,"Comedy, Drama",1h 57min,N/A,2020
Pig,6.9,"Mystery & Thriller, Drama",1h 31min,R,2021
Higher Power,4.8,"Mystery & Thriller, Science-Fiction, Action & Adventure",1h 35min,R,2018
The Sunlit Night,6.1,"Comedy, Drama, Romance, Made in Europe",1h 46min,N/A,2020
Vacation Friends,6.3,"Comedy, Kids & Family",1h 43min,R,2021
Hellraiser,6.0,"Horror, Mystery & Thriller",2h 1min,R,2022
Just Getting Started,4.5,"Comedy, Action & Adventure, Crime",1h 31min,PG-13,2017
"Good Luck to You, Leo Grande",7.2,"Comedy, Drama",1h 37min,R,2022
To the Wonder,5.8,"Drama, Romance",1h 52min,R,2013
Rogue Agent,6.4,"Mystery & Thriller, Science-Fiction, Action & Adventure, Drama",1h 55min,N/A,2022
5 Years Apart,5.6,"Drama, Comedy",1h 36min,N/A,2022
Official Competition,7.1,"Comedy, Drama",1h 55min,R,2022
Rosaline,6.4,"Comedy, Romance",1h 35min,PG-13,2022
Slayers,3.1,"Horror, Fantasy, Comedy",1h 28min,R,2022
The Place of No Words,5.6,"Drama, Fantasy",1h 35min,N/A,2020
Sicario: Day of the Soldado,7.1,"Drama, Mystery & Thriller, Action & Adventure, Crime",2h 2min,R,2018
Spin Me Round,5.2,"Comedy, Romance",1h 44min,N/A,2022
Next Exit,5.6,"Science-Fiction, Romance, Comedy",1h 43min,N/A,2022
Serena,5.4,"Drama, History, Romance",1h 42min,R,2014
Lullaby,4.7,Horror,1h 26min,N/A,2022
The Storied Life of A.J. Fikry,6.6,"Drama, Comedy",1h 45min,PG-13,2022
Haunt,6.3,"Mystery & Thriller, Horror",1h 32min,R,2019
James vs. His Future Self,5.9,"Science-Fiction, Comedy, Drama",1h 34min,N/A,2020
Jungle,6.7,"Action & Adventure, Drama, Mystery & Thriller, Made in Europe",1h 55min,R,2017
Above the Shadows,6.0,"Fantasy, Drama, Romance, Sport",1h 51min,N/A,2019
I'm Totally Fine,5.8,"Comedy, Science-Fiction, Drama",1h 23min,N/A,2022
The King's Man,6.4,"Mystery & Thriller, Action & Adventure, Crime, Comedy",2h 11min,R,2021
The Night House,6.5,"Horror, Mystery & Thriller, Drama",1h 47min,R,2021
The Wretched,5.8,"Horror, Mystery & Thriller",1h 35min,N/A,2020
Filth,7.0,"Drama, Comedy, Action & Adventure, Crime, Made in Europe",1h 37min,R,2013
The Night House,6.5,"Horror, Mystery & Thriller, Drama",1h 47min,R,2021
Voyagers,5.4,"Mystery & Thriller, Science-Fiction",1h 48min,PG-13,2021
In the Fade,7.1,"Drama, Mystery & Thriller, Crime, Made in Europe",1h 46min,R,2017
Run,6.7,"Mystery & Thriller, Horror",1h 30min,PG-13,2020
Benediction,6.7,"Drama, History, War & Military",2h 17min,PG-13,2021
Don Jon,6.5,"Romance, Comedy, Drama",1h 30min,R,2013
The Infiltrator,7.0,"Crime, Drama, Mystery & Thriller",2h 7min,R,2016
Happening,7.4,"Drama, History",1h 40min,R,2021
The Double,6.5,"Drama, Mystery & Thriller, Science-Fiction, Comedy",1h 33min,R,2014
House of Darkness,4.7,"Mystery & Thriller, Horror, Comedy",1h 28min,R,2022
Ragnarok,5.9,"Action & Adventure, Made in Europe, Fantasy",2h 0min,PG-13,2013
Inu-oh,7.2,"Animation, Drama, Fantasy, History, Music & Musical",1h 38min,PG-13,2022
Viva,7.3,"Drama, Made in Europe",1h 40min,R,2016
Philomena,7.6,"Drama, Comedy, Made in Europe",1h 38min,PG-13,2013
The Tax Collector,4.8,"Drama, Mystery & Thriller, Action & Adventure, Crime",1h 35min,R,2020
Dinner in America,7.3,"Drama, Comedy, Music & Musical, Romance",1h 46min,N/A,2021
Private Property,4.2,"Mystery & Thriller, Drama",1h 27min,R,2022
Mass,7.6,Drama,1h 51min,PG-13,2021
Transpecos,5.8,Mystery & Thriller,1h 26min,N/A,2016
Despicable Me 2,7.3,"Comedy, Crime, Kids & Family, Science-Fiction, Fantasy, Animation",1h 38min,PG,2013
Hell Baby,4.9,"Comedy, Horror",1h 38min,R,2014
The Accursed,4.6,"Horror, Drama",1h 24min,N/A,2021
War Dogs,7.1,"Comedy, Crime, Drama, War & Military",1h 54min,R,2016
The Book Thief,7.5,"Drama, War & Military",2h 11min,PG-13,2013
High-Rise,5.5,"Drama, Science-Fiction, Horror",1h 59min,R,2016
Wild Mountain Thyme,5.7,"Drama, Romance, Comedy",1h 37min,PG-13,2020
Petite Maman,7.4,"Drama, Fantasy",1h 12min,PG,2021
211,4.4,"Crime, Action & Adventure, Drama, Mystery & Thriller, Made in Europe",1h 26min,R,2018
The Good Neighbor,6.0,Mystery & Thriller,1h 37min,R,2022
Hunt,6.8,"Mystery & Thriller, Action & Adventure, Drama",2h 11min,N/A,2022
Mom and Dad,5.5,"Comedy, Horror, Mystery & Thriller",1h 23min,R,2018
Possessor Uncut,6.5,"Mystery & Thriller, Science-Fiction, Horror",1h 44min,R,2020
Disappearance at Clifton Hill,5.4,"Mystery & Thriller, Drama",1h 40min,N/A,2020
