Title,genre,imdb,Tv-Rating,runtime,director,year
Citadel,"Drama, Action & Adventure",N/A,TV-14,41min,Anthony Russo,2023
Triangle of Sadness,"Comedy, Drama",7.4,R,2h 27min,Ruben Östlund,2022
Ford v Ferrari,"Drama, Sport, Action & Adventure",8.1,PG-13,2h 33min,James Mangold,2019
The Mandela Effect,"Drama, Science-Fiction, Mystery & Thriller, Documentary",5.8,N/A,1h 20min,David Guy Levy,2019
The Equalizer 2,"Mystery & Thriller, Action & Adventure, Crime",6.7,R,2h 1min,Antoine Fuqua,2018
Poker Face,"Mystery & Thriller, Action & Adventure, Crime",5.1,R,1h 35min,Russell Crowe,2022
The Meg,"Science-Fiction, Horror, Action & Adventure, Mystery & Thriller",5.6,PG-13,1h 53min,Jon Turteltaub,2018
Pig,"Mystery & Thriller, Drama",6.9,R,1h 31min,Michael Sarnoski,2021
Banana Split,Comedy,6.2,R,1h 28min,Robbie Ryde,2018
Blade Runner 2049,"Drama, Science-Fiction, Mystery & Thriller, Action & Adventure",8.0,R,2h 44min,Denis Villeneuve,2017
Medieval,"Drama, War & Military, Action & Adventure, History",5.9,R,2h 6min,Petr Jákl,2022
The French Dispatch,"Comedy, Drama, Romance, Documentary",7.3,R,1h 48min,Wes Anderson,2021
Watcher,"Drama, Horror, Mystery & Thriller",6.3,R,1h 36min,Chloe Okuno,2022
Jumanji: Welcome to the Jungle,"Comedy, Fantasy, Action & Adventure",6.9,PG-13,1h 59min,Jake Kasdan,2017
The Quake,"Action & Adventure, Drama, Mystery & Thriller, Made in Europe",6.2,PG-13,1h 46min,John Andreas Andersen,2018
Hacksaw Ridge,"Drama, History, War & Military",8.1,R,2h 11min,Mel Gibson,2016
Haunt,"Horror, Mystery & Thriller",6.3,R,1h 32min,Scott Beck,2019
War Dogs,"Comedy, Drama, Crime, War & Military",7.1,R,1h 54min,Todd Phillips,2016
Joyride,"Crime, Comedy, Drama",6.0,N/A,1h 34min,Emer Reynolds,2022
Zero Days,Documentary,7.7,PG-13,1h 56min,Yasmin Elayat,2016
Something in the Dirt,"Science-Fiction, Comedy, Horror, Mystery & Thriller",5.9,R,1h 56min,Justin Benson,2022
The Last Stand,"Action & Adventure, Mystery & Thriller, Western, Made in Europe",6.3,R,1h 47min,Kim Jee-woon,2013
The Sacrament,"Mystery & Thriller, Horror",6.1,R,1h 39min,Ti West,2013
Another Round,"Drama, Comedy",7.7,N/A,1h 57min,Thomas Vinterberg,2020
Sicario: Day of the Soldado,"Drama, Mystery & Thriller, Action & Adventure, Crime",7.1,R,2h 2min,Stefano Sollima,2018
The Worst Person in the World,"Drama, Comedy, Romance",7.9,R,2h 8min,Joachim Trier,2021
Alita: Battle Angel,"Action & Adventure, Science-Fiction, Mystery & Thriller",7.3,PG-13,2h 2min,Robert Rodriguez,2019
Rent-A-Pal,"Mystery & Thriller, Horror",6.3,N/A,1h 48min,Jon Stevenson,2020
Piggy,"Drama, Horror, Mystery & Thriller",6.2,N/A,1h 39min,Carlota Pereda,2022
Paradise City,"Mystery & Thriller, Action & Adventure",3.6,R,1h 32min,Chuck Russell,2022
Crimes of the Future,"Horror, Drama, Science-Fiction",5.9,R,1h 47min,David Cronenberg,2022
Boss Level,"Action & Adventure, Science-Fiction, Mystery & Thriller, Comedy",6.8,R,1h 34min,Joe Carnahan,2021
Born to Play,Documentary,7.0,N/A,1h 32min,Viridiana Lieberman,2020
How to Train Your Dragon 2,"Comedy, Fantasy, Animation, Action & Adventure, Kids & Family",7.8,PG,1h 45min,Dean DeBlois,2014
The King's Man,"Mystery & Thriller, Comedy, Crime, Action & Adventure",6.4,R,2h 11min,Matthew Vaughn,2021
Palm Springs,"Science-Fiction, Comedy, Fantasy, Romance",7.4,R,1h 30min,Max Barbakow,2020
Death on the Nile,"Drama, Mystery & Thriller, Crime",6.6,PG-13,2h 7min,Kenneth Branagh,2022
Elysium,"Drama, Mystery & Thriller, Science-Fiction, Action & Adventure, Crime",6.6,R,1h 49min,Neill Blomkamp,2013
She Will,"Horror, Mystery & Thriller, Drama",5.4,N/A,1h 35min,Charlotte Colbert,2022
The Estate,"Drama, Comedy",5.3,R,1h 31min,Dean Craig,2022
Underwater,"Science-Fiction, Action & Adventure, Horror, Mystery & Thriller, Drama",5.8,PG-13,1h 35min,William Eubank,2020
Nightmare Alley,"Mystery & Thriller, Drama, Horror, Crime, Action & Adventure, Fantasy",7.0,R,2h 30min,Guillermo del Toro,2021
Above the Shadows,"Fantasy, Romance, Sport, Drama",6.0,N/A,1h 51min,Claudia Myers,2019
Portrait of a Lady on Fire,"Drama, Comedy, Romance, History, Made in Europe",8.1,R,2h 1min,Céline Sciamma,2019
The Accursed,"Horror, Drama",4.6,N/A,1h 24min,Elizabeta Vidovic,2021
Fresh,"Horror, Mystery & Thriller, Comedy",6.7,R,1h 54min,Mimi Cave,2022
Prey,"Science-Fiction, Drama, Horror, Mystery & Thriller, Action & Adventure",7.1,R,1h 40min,Dan Trachtenberg,2022
Hellraiser,"Horror, Mystery & Thriller",6.0,R,2h 1min,David Bruckner,2022
There There,"Comedy, Romance, Drama",5.4,N/A,1h 33min,Andrew Bujalski,2022
Prospect,"Science-Fiction, Documentary, Drama, Mystery & Thriller, Western",6.3,R,1h 38min,Alexey Tokun,2018
A Dog's Way Home,"Drama, Kids & Family",6.7,PG,1h 35min,Charles Martin Smith,2019
Nomadland,Drama,7.3,R,1h 48min,Chloé Zhao,2021
Dunkirk,"Drama, Mystery & Thriller, War & Military, Action & Adventure, History, Made in Europe",7.8,PG-13,1h 47min,Christopher Nolan,2017
Hell or High Water,"Drama, Mystery & Thriller, Western, Action & Adventure, Crime",7.6,R,1h 42min,Oluseyi Asurf,2016
The War with Grandpa,"Comedy, Kids & Family, Drama",5.6,PG,1h 38min,Tim Hill,2020
The Hummingbird Project,"Mystery & Thriller, Drama, Crime, Made in Europe",6.2,R,1h 50min,Kim Nguyen,2019
The Shape of Water,"Fantasy, Romance, Mystery & Thriller, Science-Fiction, Drama",7.3,R,2h 3min,Guillermo del Toro,2017
Higher Power,"Mystery & Thriller, Science-Fiction, Action & Adventure",4.8,R,1h 35min,Matthew Charles Santoro,2018
The Program,"Drama, Sport, Made in Europe",6.5,PG-13,1h 44min,Stephen Frears,2015
