Netflix,Netflix_imdb,Genre,Runtime,TV_Ratings,Year
I See You,6.8,"Mystery & Thriller, Horror, Crime, Drama",1h 36min,R,2019
Burnt,6.6,"Drama, Comedy",2h 10min,R,2015
Bullet Train,7.3,"Comedy, Mystery & Thriller, Action & Adventure",2h 6min,R,2022
Murder Mystery,6.0,"Mystery & Thriller, Action & Adventure, Comedy, Crime, Romance",1h 37min,PG-13,2019
Glass Onion: A Knives Out Mystery,7.2,"Comedy, Crime, Drama, Mystery & Thriller",2h 19min,PG-13,2022
All Quiet on the Western Front,7.8,"Drama, War & Military, History, Action & Adventure",2h 27min,R,2022
Furies,5.3,Drama,1h 49min,N/A,2022
The Woman King,6.8,"Action & Adventure, Drama, History",2h 15min,PG-13,2023
Prisoners,8.1,"Drama, Mystery & Thriller, Crime",2h 26min,R,2013
On the Fringe,6.7,Drama,1h 43min,N/A,2022
This Is Where I Leave You,6.6,"Drama, Comedy",1h 43min,R,2014
Lavender,5.4,"Drama, Mystery & Thriller, Horror",1h 32min,N/A,2017
The Founder,7.2,"Drama, History",1h 55min,PG-13,2016
The Gentlemen,7.8,"Comedy, Action & Adventure, Crime",1h 53min,R,2020
La La Land,8.0,"Comedy, Drama, Romance, Music & Musical",2h 6min,PG-13,2016
Where the Crawdads Sing,7.2,"Mystery & Thriller, Drama, Romance",2h 5min,PG-13,2022
Guillermo del Toro's Pinocchio,7.6,"Drama, Kids & Family, Fantasy, Animation",1h 54min,PG,2022
Oblivion,7.0,"Action & Adventure, Science-Fiction, Mystery & Thriller, Made in Europe",2h 4min,PG-13,2013
We Have a Ghost,6.1,"Comedy, Kids & Family, Horror",2h 6min,PG-13,2022
RRR,7.9,"Drama, Action & Adventure",3h 2min,R,2022
Emily the Criminal,6.7,"Drama, Crime, Mystery & Thriller",1h 37min,R,2022
Re/Member,5.1,"Horror, Mystery & Thriller, Drama",1h 43min,PG-13,2022
Operation Finale,6.6,"Mystery & Thriller, Drama, History, War & Military",2h 4min,PG-13,2018
Triple Frontier,6.4,"Mystery & Thriller, Action & Adventure, Drama, Crime",2h 5min,R,2019
The Pale Blue Eye,6.6,"Mystery & Thriller, Crime, Horror",2h 8min,R,2022
Belgica,6.7,"Drama, Made in Europe",2h 7min,N/A,2016
The Nice Guys,7.3,"Comedy, Drama, Romance, Action & Adventure, Crime, Mystery & Thriller",1h 56min,R,2016
Uncharted,6.3,Action & Adventure,1h 56min,PG-13,2022
The Hunger Games: Mockingjay - Part 2,6.5,"Action & Adventure, Science-Fiction, Mystery & Thriller, Made in Europe",2h 17min,PG-13,2015
The Main Event,4.8,"Comedy, Fantasy, Sport, Action & Adventure, Kids & Family",1h 42min,N/A,2020
White Boy,7.2,"Documentary, Crime",1h 22min,N/A,2018
World War Z,7.0,"Drama, Horror, Mystery & Thriller, Action & Adventure, Science-Fiction",1h 56min,PG-13,2013
It Follows,6.8,"Horror, Mystery & Thriller",1h 41min,R,2015
Nocturnal Animals,7.5,"Mystery & Thriller, Drama",1h 57min,R,2016
White Noise,5.7,"Comedy, Drama, Horror, Science-Fiction",2h 16min,R,2022
Minions: The Rise of Gru,6.5,"Comedy, Crime, Kids & Family, Science-Fiction, Action & Adventure, Animation, Fantasy",1h 30min,PG,2022
The Gray Man,6.5,"Action & Adventure, Mystery & Thriller",2h 8min,PG-13,2022
Riddick,6.4,"Science-Fiction, Action & Adventure, Mystery & Thriller",1h 59min,R,2013
The Bad Guys,6.8,"Comedy, Animation, Crime, Kids & Family, Action & Adventure",1h 40min,PG,2022
Sing 2,7.4,"Kids & Family, Animation, Comedy, Drama, Fantasy, Music & Musical",1h 50min,PG,2021
Kick-Ass 2,6.5,"Crime, Action & Adventure, Mystery & Thriller, Comedy",1h 43min,R,2013
Hustle,7.3,"Drama, Sport, Comedy",1h 57min,R,2022
The Game Changers,7.8,Documentary,1h 28min,N/A,2019
Blonde,5.5,"Drama, Romance, Mystery & Thriller",2h 47min,NC-17,2022
Enola Holmes 2,6.7,"Comedy, Action & Adventure, Crime, Drama",2h 9min,PG-13,2022
"Lyle, Lyle, Crocodile",6.1,"Comedy, Kids & Family, Fantasy, Animation",1h 46min,PG,2022
The Invitation,5.3,"Horror, Mystery & Thriller",1h 45min,PG-13,2022
It,7.3,"Horror, Mystery & Thriller",2h 15min,R,2017
Call Me by Your Name,7.9,"Drama, Romance, Made in Europe",2h 12min,R,2017
Roald Dahl's Matilda the Musical,7.1,"Comedy, Drama, Kids & Family, Fantasy",1h 57min,PG,2022
The Wonder,6.6,"Mystery & Thriller, Drama",1h 48min,R,2022
The Platform,7.0,"Drama, Mystery & Thriller, Horror, Science-Fiction, Made in Europe",1h 35min,N/A,2019
Paddington,7.3,"Comedy, Kids & Family, Fantasy, Animation, Made in Europe",1h 35min,PG,2014
Magic Mike XXL,5.6,"Drama, Music & Musical, Comedy",1h 55min,R,2015
Slumberland,6.7,"Fantasy, Kids & Family, Science-Fiction, Comedy, Drama",1h 57min,PG,2022
The Giver,6.4,"Drama, Science-Fiction, Mystery & Thriller, Romance",1h 37min,PG-13,2014
Stutz,7.8,Documentary,1h 36min,R,2022
The Debt Collector,5.8,"Action & Adventure, Comedy",1h 30min,N/A,2018
An Inconvenient Love,N/A,Comedy,2h 4min,N/A,2022
The Substitute,6.4,"Drama, Crime, Mystery & Thriller, Western",1h 51min,N/A,2022
The Martha Mitchell Effect,N/A,Documentary,40min,PG,2022
Darkest Hour,7.4,"Drama, War & Military, Mystery & Thriller, Kids & Family, History",2h 5min,PG-13,2017
Don't Look Up,7.2,"Drama, Comedy, Science-Fiction",2h 23min,R,2021
47 Meters Down: Uncaged,5.0,"Horror, Drama, Mystery & Thriller",1h 30min,PG-13,2019
Forgotten,7.4,"Mystery & Thriller, Horror, Science-Fiction",1h 49min,N/A,2017
Luckiest Girl Alive,6.4,"Drama, Mystery & Thriller",1h 53min,R,2022
The School for Good and Evil,5.8,"Drama, Fantasy, Action & Adventure, Comedy",2h 27min,PG-13,2022
R.I.P.D. 2: Rise of the Damned,4.5,"Fantasy, Action & Adventure, Western, Comedy, Science-Fiction",1h 42min,PG-13,2022
Narvik,6.6,"War & Military, Drama, History, Action & Adventure",1h 48min,R,2022
Human Capital,5.7,"Drama, Crime",1h 38min,N/A,2020
The Age of Adaline,7.2,"Drama, Fantasy, Romance",1h 50min,PG-13,2015
The Sea Beast,7.0,"Fantasy, Science-Fiction, Animation, Comedy, Kids & Family, Action & Adventure",1h 55min,PG,2022
The Adam Project,6.7,"Action & Adventure, Comedy, Science-Fiction, Drama",1h 46min,PG-13,2022
Athena,6.8,"Drama, Horror, Action & Adventure, Mystery & Thriller",1h 37min,R,2022
Rush,8.1,"Action & Adventure, Drama, Sport, Made in Europe",2h 3min,R,2013
Descendant,7.1,"Documentary, History",1h 51min,PG,2022
The Stranger,6.6,"Mystery & Thriller, Crime, Drama",1h 57min,N/A,2022
The Good Nurse,6.8,"Drama, Crime, Mystery & Thriller",2h 1min,R,2022
Morbius,5.2,"Action & Adventure, Drama, Horror, Science-Fiction, Mystery & Thriller",1h 45min,PG-13,2022
The Big 4,6.1,"Action & Adventure, Comedy, Crime",2h 21min,N/A,2022
Philomena,7.6,"Drama, Comedy, Made in Europe",1h 38min,PG-13,2013
Synchronic,6.2,"Horror, Science-Fiction, Mystery & Thriller, Crime, Drama",1h 42min,R,2020
The Munsters,4.5,"Comedy, Documentary, Fantasy, Horror, Science-Fiction, Kids & Family",1h 50min,PG,2022
