Title,netflix_genre,Imdb,Age_ratings,Runtime,Year,Director
Demon Slayer: Kimetsu no Yaiba,"Science-Fiction, Action & Adventure, Fantasy, Mystery & Thriller, Horror, Animation",8.7,TV-MA,25min,2019,N/A
Time Trap,"Science-Fiction, Action & Adventure",6.2,R,1h 27min,2017,Mark Dennis
The Snowman,"Mystery & Thriller, Crime, Drama, Made in Europe",5.1,R,1h 59min,2017,Tomas Alfredson
Prisoners,"Mystery & Thriller, Drama, Crime",8.1,R,2h 26min,2013,Denis Villeneuve
Bullet Train,"Action & Adventure, Comedy, Mystery & Thriller",7.3,R,2h 6min,2022,David Leitch
The Ballad of Buster Scruggs,"Drama, Western, Comedy, Romance",7.3,R,2h 12min,2018,Joel Coen
I See You,"Mystery & Thriller, Crime, Drama, Horror",6.8,R,1h 36min,2019,Adam Randall
Glass Onion: A Knives Out Mystery,"Comedy, Drama, Mystery & Thriller, Crime",7.2,PG-13,2h 19min,2022,Rian Johnson
The Gentlemen,"Comedy, Action & Adventure, Crime",7.8,R,1h 53min,2020,N/A
Emily the Criminal,"Drama, Mystery & Thriller, Crime",6.7,R,1h 37min,2022,John Patton Ford
All Quiet on the Western Front,"Drama, Action & Adventure, War & Military, History",7.8,R,2h 27min,2022,Edward Berger
The Mustang,"Drama, Made in Europe",6.8,R,1h 36min,2019,Laure de Clermont-Tonnerre
The Nice Guys,"Comedy, Romance, Drama, Crime, Mystery & Thriller, Action & Adventure",7.3,R,1h 56min,2016,Shane Black
The Platform,"Drama, Mystery & Thriller, Horror, Science-Fiction, Made in Europe",7.0,N/A,1h 35min,2019,Galder Gaztelu-Urrutia
RRR,"Action & Adventure, Drama",7.9,R,3h 6min,2022,S. S. Rajamouli
The Last Stand,"Mystery & Thriller, Action & Adventure, Western, Made in Europe",6.3,R,1h 47min,2013,Kim Jee-woon
The Woman King,"Drama, Action & Adventure, History",6.8,PG-13,2h 15min,2022,Gina Prince-Bythewood
The Gray Man,"Action & Adventure, Mystery & Thriller",6.5,PG-13,2h 8min,2022,Joe Russo
Uncharted,Action & Adventure,6.3,PG-13,1h 56min,2022,Ruben Fleischer
Blonde,"Drama, Romance, Mystery & Thriller",5.5,NC-17,2h 47min,2022,Andrew Dominik
Where the Crawdads Sing,"Drama, Mystery & Thriller, Romance",7.2,PG-13,2h 5min,2022,Olivia Newman
This Is Where I Leave You,"Comedy, Drama",6.6,R,1h 43min,2014,Shawn Levy
Nocturnal Animals,"Mystery & Thriller, Drama",7.5,R,1h 55min,2016,Tom Ford
Holy Spider,"Mystery & Thriller, Drama, Crime",7.3,N/A,1h 56min,2022,Ali Abbasi
American Hustle,"Drama, Crime",7.2,R,2h 18min,2013,David O. Russell
World War Z,"Mystery & Thriller, Drama, Horror, Science-Fiction, Action & Adventure",7.0,PG-13,1h 56min,2013,Marc Forster
Guillermo del Toro's Pinocchio,"Drama, Music & Musical, Animation, Fantasy, Kids & Family",7.6,PG,1h 54min,2022,Guillermo del Toro
"2,215",Documentary,7.7,N/A,1h 30min,2018,Nottapon Boonprakob
The Pale Blue Eye,"Crime, Horror, Mystery & Thriller",6.6,R,2h 8min,2022,Scott Cooper
Slumberland,"Fantasy, Science-Fiction, Comedy, Drama, Kids & Family",6.7,PG,1h 57min,2022,Francis Lawrence
Morbius,"Fantasy, Action & Adventure, Science-Fiction, Drama, Horror, Mystery & Thriller",5.2,PG-13,1h 45min,2022,Daniel Espinosa
La La Land,"Drama, Comedy, Music & Musical, Romance",8.0,PG-13,2h 6min,2016,Damien Chazelle
Sing 2,"Kids & Family, Animation, Comedy, Drama, Fantasy, Music & Musical",7.4,PG,1h 50min,2021,Garth Jennings
Burnt,"Drama, Comedy",6.6,R,1h 41min,2015,John Wells
"Lyle, Lyle, Crocodile","Animation, Comedy, Kids & Family, Fantasy",6.1,PG,1h 46min,2022,Josh Gordon
White Noise,"Comedy, Drama, Horror, Science-Fiction",5.7,R,2h 16min,2022,Noah Baumbach
Enola Holmes 2,"Comedy, Drama, Action & Adventure, Crime",6.7,PG-13,2h 9min,2022,Harry Bradbeer
It Follows,"Horror, Mystery & Thriller",6.8,R,1h 41min,2014,David Robert Mitchell
Don't Look Up,"Science-Fiction, Comedy, Drama",7.2,R,2h 18min,2021,Adam McKay
The Stranger,"Mystery & Thriller, Crime, Drama",6.6,N/A,1h 57min,2022,Thomas M. Wright
The Age of Adaline,"Drama, Romance, Fantasy",7.2,PG-13,1h 50min,2015,Lee Toland Krieger
Minions: The Rise of Gru,"Comedy, Animation, Crime, Kids & Family, Science-Fiction, Action & Adventure, Fantasy",6.5,PG,1h 30min,2022,Kyle Balda
The Invitation,"Horror, Mystery & Thriller",5.3,PG-13,1h 45min,2022,Jessica M. Thompson
Call Me by Your Name,"Drama, Romance, Made in Europe",7.9,R,2h 12min,2017,Luca Guadagnino
On the Fringe,Drama,6.7,N/A,1h 43min,2022,Juan Diego Botto
Veve,Drama,6.5,PG-13,1h 30min,2014,Simon Mukali
Roald Dahl's Matilda the Musical,"Comedy, Kids & Family, Fantasy, Drama",7.1,PG,1h 57min,2022,Matthew Warchus
Den of Thieves,"Action & Adventure, Mystery & Thriller, Crime, Drama",7.0,R,2h 4min,2018,Christian Gudegast
Furies,"Drama, Action & Adventure",5.3,N/A,1h 49min,2022,Veronica Ngo
Troll,"Fantasy, Action & Adventure, Mystery & Thriller, Science-Fiction, Drama",5.8,PG-13,1h 45min,2022,Roar Uthaug
The Wonder,"Mystery & Thriller, Drama",6.6,R,1h 48min,2022,Sebastián Lelio
Nyara: The Kidnapping,"Action & Adventure, Crime",7.2,N/A,1h 15min,2020,Ram Ally K
The Founder,"Drama, History",7.2,PG-13,1h 55min,2016,John Lee Hancock
Qorin,Horror,7.0,N/A,1h 46min,2022,Ginanti Rona Tembang Asri
We Have a Ghost,"Horror, Comedy, Kids & Family",6.1,PG-13,2h 6min,2022,Christopher Landon
Lights Out,"Horror, Mystery & Thriller, Drama",6.3,PG-13,1h 21min,2016,David F. Sandberg
Murder Mystery,"Comedy, Mystery & Thriller, Romance, Action & Adventure, Crime",6.0,PG-13,1h 37min,2019,Kyle Newacheck
Re/Member,"Horror, Mystery & Thriller, Drama",5.1,PG-13,1h 43min,2022,Eiichiro Hasumi
Debt Collectors,"Comedy, Crime, Action & Adventure",5.8,R,1h 37min,2020,Jesse V. Johnson
Operation Finale,"Mystery & Thriller, Drama, History, War & Military",6.6,PG-13,2h 4min,2018,Chris Weitz
The Garage,Comedy,5.7,N/A,1h 53min,2022,Erkan Kolçak Köstendil
The Bad Guys,"Animation, Action & Adventure, Comedy, Crime, Kids & Family",6.8,PG,1h 40min,2022,Pierre Perifel
Forgotten,"Mystery & Thriller, Drama, Horror, Science-Fiction",7.4,N/A,1h 49min,2017,Jang Hang-jun
Lavender,"Drama, Mystery & Thriller, Horror",5.4,N/A,1h 32min,2016,Ed Gass-Donnelly
White Boy,"Documentary, Crime",7.2,N/A,1h 22min,2017,Shawn Rech
Peter Rabbit 2: The Runaway,"Comedy, Action & Adventure, Kids & Family, Fantasy, Animation, Crime, Drama",6.2,PG,1h 33min,2021,Will Gluck
The Good Nurse,"Drama, Crime, Mystery & Thriller",6.8,R,2h 1min,2022,Tobias Lindholm
Paddington,"Comedy, Kids & Family, Fantasy, Animation, Made in Europe",7.3,PG,1h 35min,2014,Paul King
Wendell & Wild,"Comedy, Fantasy, Horror, Mystery & Thriller, Animation, Kids & Family",6.4,PG-13,1h 47min,2022,Henry Selick
Rush,"Drama, Action & Adventure, Sport, Made in Europe",8.1,R,2h 3min,2013,Ron Howard
Extraction,"Mystery & Thriller, Crime, Drama, Action & Adventure",6.7,R,1h 56min,2020,Sam Hargrave
Stutz,Documentary,7.8,R,1h 36min,2022,Jonah Hill
The Vault,"Action & Adventure, Mystery & Thriller, Crime, Fantasy",6.4,R,1h 58min,2021,Jaume Balagueró
The School for Good and Evil,"Fantasy, Action & Adventure, Comedy, Drama",5.8,PG-13,2h 27min,2022,Paul Feig
Triple Frontier,"Action & Adventure, Mystery & Thriller, Crime, Drama",6.4,R,2h 5min,2019,J.C. Chandor
Hustle,"Comedy, Drama, Sport",7.3,R,1h 57min,2022,Jeremiah Zagar
The Game Changers,Documentary,7.8,N/A,1h 28min,2019,Louie Psihoyos
"BARDO, False Chronicle of a Handful of Truths","Comedy, Drama",6.7,R,2h 40min,2022,Alejandro González Iñárritu
Ittefaq,"Mystery & Thriller, Crime",7.2,PG,1h 47min,2017,N/A
Outlaw King,"Drama, Action & Adventure, History, War & Military",6.9,R,2h 17min,2018,David Mackenzie
The Debt Collector,"Action & Adventure, Comedy",5.8,N/A,1h 30min,2018,Jesse V. Johnson
Kick-Ass 2,"Action & Adventure, Comedy, Crime, Mystery & Thriller",6.5,R,1h 43min,2013,Jeff Wadlow
Luckiest Girl Alive,"Drama, Mystery & Thriller",6.4,R,1h 53min,2022,Mike Barker
An Inconvenient Love,Comedy,N/A,N/A,2h 4min,2022,Petersen Vargas
Human Capital,"Crime, Drama",5.7,N/A,1h 38min,2020,Marc Meyers
47 Meters Down: Uncaged,"Horror, Drama, Mystery & Thriller",5.0,PG-13,1h 30min,2019,Johannes Roberts
The Giver,"Drama, Science-Fiction, Romance, Mystery & Thriller",6.4,PG-13,1h 37min,2014,Phillip Noyce
The Rental,"Mystery & Thriller, Drama, Horror",5.7,R,1h 28min,2020,Dave Franco
Where Hands Touch,"War & Military, Drama, Romance",6.5,PG-13,2h 2min,2018,Amma Asante
Recurrence,"Crime, Mystery & Thriller, Drama",4.4,N/A,1h 56min,2022,Alejandro Montiel
The Martha Mitchell Effect,Documentary,N/A,PG,40min,2022,Anne Alvergue
Untold: Operation Flagrant Foul,"Documentary, Crime, History, Sport",6.8,R,1h 17min,2022,David Terry Fine
R.I.P.D. 2: Rise of the Damned,"Comedy, Western, Action & Adventure, Fantasy, Science-Fiction",4.5,PG-13,1h 42min,2022,Paul Leyden
The Big 4,"Action & Adventure, Comedy, Crime",6.1,N/A,2h 21min,2022,Timo Tjahjanto
Running with the Devil: The Wild World of John McAfee,"Documentary, Crime",5.9,R,1h 45min,2022,Charlie Russell
Blade of the 47 Ronin,"Action & Adventure, Drama, Fantasy, Mystery & Thriller",4.7,R,1h 47min,2022,Ron Yuan
The Wretched,"Horror, Mystery & Thriller",5.8,N/A,1h 35min,2020,Drew T. Pierce
The Kings of the World,Drama,7.1,N/A,1h 51min,2022,Laura Mora
Five Feet Apart,"Drama, Romance",7.2,PG-13,1h 56min,2019,Justin Baldoni
Descendant,"Documentary, History",7.1,PG,1h 51min,2022,Margaret Brown
Office Invasion,"Comedy, Horror, Science-Fiction, Action & Adventure",4.5,R,1h 52min,2022,Fred Wolmarans
Fullmetal Alchemist: The Final Alchemy,"Fantasy, Action & Adventure",5.3,PG-13,2h 23min,2022,Fumihiko Sori
For Jojo,Drama,4.0,N/A,1h 37min,2022,Barbara Ott
"Hallelujah: Leonard Cohen, A Journey, A Song","Documentary, Music & Musical",7.6,PG-13,1h 55min,2022,Dayna Goldfine
